	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
65	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	100	50	1	T	10	394.4136363636364	3
89	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	100	50	1	T	10	396.27555555555557	3
158	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	50	200	5	R	2	386.8383647798742	3
189	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.1	1.0	50	200	5	T	10	383.6357894736842	3
197	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	100	200	5	T	10	382.26666666666665	3
229	Mutation_Rate 0.1, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	100	200	5	T	10	377.8991304347826	3
240	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	250	200	1	T	2	377.6966804979253	3
244	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	250	200	5	T	2	377.1118367346939	3
254	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method R, Tournament: 2	0.01	1.0	250	200	5	R	2	374.86627450980393	3
9	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.01	1.0	50	50	1	T	10	380.75	2
69	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	100	50	5	T	10	394.6614285714286	2
77	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.05	1.0	100	50	5	T	10	395.02435897435896	2
93	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	1.0	100	50	5	T	10	396.5968085106383	2
129	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	0.7	250	50	1	T	10	391.75615384615384	2
133	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	250	50	5	T	10	391.7664179104478	2
144	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	50	200	1	T	2	392.091724137931	2
181	Mutation_Rate 0.1, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	50	200	5	T	10	383.8615384615385	2
192	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	0.7	100	200	1	T	2	383.3948186528497	2
199	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method R, Tournament: 10	0.01	0.7	100	200	5	R	10	381.8345	2
5	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	50	50	5	T	10	380.7	1
13	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	50	50	5	T	10	382.34285714285716	1
